uid,type,points_finish,points_bronze,points_silver,points_gold,points_at
WjVnQaxLG3elVvUHoFcB1iqKMKj,RPG,10,15,20,25,30
yykpIcRQQyRC4kqnWeyac5gDHr6,RPG,10,15,20,25,30
cXaZQQZLQDZjHwg2EOf7wPGCGdb,RPG,5,6,7,8,10
1qDStYkG0z8bGaYA5YLaAt6vJC1,RPG,10,15,20,25,30
HcN62vp2D2lBYQX_mxukXjre1t,RPG,5,6,7,8,10
pLt0edZNRRt9OY2equTEcjHtoid,RPG,30,35,40,45,55
SViEn1mZsu2tZGJRWyZqLjJdYh5,RPG,5,6,7,8,10
R6kIMdDnTDemZ53hKFVKTRSwjm2,RPG,10,15,20,25,30
sQVJqtUbZX77SBdnV35ynYyDbc9,RPG,5,6,7,8,10
1XYdV9y85Jp6xYBtl4STN2vpirh,RPG,5,6,7,8,10
2oXMEQuMp3DHZqOD48SMIA0PA48,RPG,5,6,7,8,10
_5AnE4Yw_RseRHXWR5H5D5PomId,RPG,10,15,20,25,30
PoHnACHMCTQHtTs4ijBfGVLI5Rh,RPG,10,15,20,25,30
JQ6nu2WjmPtL0yKafHX3rfOTske,RPG,5,6,7,8,10
C9mFbXVuC0Ks6kEkzAmHZGUcWud,RPG,5,6,7,8,10
GqbYvMjDPu_LW3G813HTCamZEP5,RPG,10,15,20,25,30
e3iarNHYA56kC8XkeAMYLQX8Pvl,RPG,10,15,20,25,30
wQegHPt7W7l_mraR_JNCWdubkO9,RPG,10,15,20,25,30
_lVZ00v8delgVMBm6YzDWrIe9H3,RPG,10,15,20,25,30
K1L_OIXsHSe1XglWz53I8UmK5S6,RPG,5,6,7,8,10
t1Y_HzJ7Z6YAC2cl7eyHkSq_kq3,RPG,5,6,7,8,10
Dq797nd2iq3Lpv0yA6ucx9fUCn5,RPG,5,6,7,8,10
N8mhyn_onGO6YLM7LwnqD1jvl56,RPG,5,6,7,8,10
ov0hOL0KikebCGAYR2zUKl5vOfa,RPG,5,6,7,8,10
gnFMD7vSWkknmJLxI2cnyWBBUDc,RPG,5,6,7,8,10
86rnEpls5dwu4Bv3RsDiPwCnnh4,RPG,50,60,70,80,100
s0aQ8WkIWdlUDkLQOiizroCwbsb,RPG,10,15,20,25,30
lU4TwE6jS3P_Tmtwl_JKjT77127,RPG,5,6,7,8,10
xYsB1YOxZIRQjNJnjtPqa8SrLo9,RPG,5,6,7,8,10
js9ye0m9EAYyaPf3efdV2VtaeYd,RPG,5,6,7,8,10
6c3vkLR698Vb8UgQ2s03JAn6le,RPG,5,6,7,8,10
G948nNbT5c5WYekVKHFgyqP9Dsj,RPG,5,6,7,8,10
_GkbOKP2m3axRmtaqOrtMSLsy0h,RPG,5,6,7,8,10
Fy_O4xe12NqoB8kZdgkWbKpuq5e,RPG,10,15,20,25,30
F082FKYgeG0OO8XlUSzE5uaOgL0,RPG,10,15,20,25,30
NZovNIr0rg31biIujx57E9I50al,RPG,5,6,7,8,10
saBGD_BiuPyjaqc64ZE3haf7eB,RPG,10,15,20,25,30
M_RUF4a1mTMe1yXnkrsoRdNkzyd,RPG,10,15,20,25,30
SoWie3uLoUKsztCj6evpGz3MlEf,RPG,5,6,7,8,10
GrInmYSQuSZLaj4Wtu9xgsHkar1,RPG,30,35,40,45,55
SOHoIb7Z3LHpnQ2K5ZExxNbZc4n,RPG,30,35,40,45,55
L9sTp2NFkKlvJmZ45xBJ2HMbFy1,RPG,5,6,7,8,10
pltKW4Ls3LkyZYD4Q9_p7dPkLGk,RPG,5,6,7,8,10
d5i7rIWsutIErsbMxMBnMbs2f8a,RPG,5,6,7,8,10
E1TI0tiWFYGXcMOsyclSbGd7q3i,RPG,10,15,20,25,30
bnZ2xSjPS8ha6ZUXHgw0XVKNjii,RPG,5,6,7,8,10
JzD97msAUCrXS_xAYaDeY6YPj0k,RPG,5,6,7,8,10
u_o891BBsZkd9RXx0sDwWeiJ9Lm,RPG,10,15,20,25,30
uj73cp79gGWkgyGx7GIS1mISLbe,RPG,5,6,7,8,10
vVPriHScmk0letVvxceJIITzvnh,RPG,50,60,70,80,100
2WSpb4BJgH_pUyd5D9__dS2eB1g,RPG,10,15,20,25,30
